|Resource|Dimension|mean|median|usage_type|intensivity|decision|
|4023 TM|CPU|54.57|76.5|low|high|as at is|
|4023 TM|RAM|50.12|49.0|stable|moderate|as at is|
|4023 TM|NetFlow|46.825|39.5|stable|moderate|as at is|
|2563 ZS|CPU|58.01|88.5|low|high|as at is|
|2563 ZS|RAM|49.19|44.5|stable|moderate|as at is|
|2563 ZS|NetFlow|59.125|90.5|low|transcendental|power_up|
|168V|CPU|48.475|33.5|surges|moderate|as at is|
|168V|RAM|50.44|55.5|stable|moderate|as at is|
|168V|NetFlow|48.125|47.0|stable|moderate|as at is|
|7VR 831|CPU|48.91|54.0|stable|moderate|as at is|
|7VR 831|RAM|42.515|15.0|surges|low|cancel|
|7VR 831|NetFlow|45.56|30.5|surges|moderate|as at is|
